episode, reward, success, duration, steps, total_steps, memory length, avg_critic_loss, avg_actor_loss
1, -7551.032428741455, 5, 32.59281542999997, 1674, 25692,                                             25692, 2.299288511276245, 145.08302307128906
2, -30552.485958337784, 5, 98.68096070299998, 4856, 30548,                                             30548, 2.5733110904693604, 166.82550048828125
3, -32083.739815235138, 5, 102.386801505, 5075, 35623,                                             35623, 2.861710786819458, 203.2190704345703
4, -29251.55717909336, 5, 98.77404039099997, 4891, 40514,                                             40514, 3.0161120891571045, 236.7555694580078
5, -30353.308295726776, 5, 96.38248391500008, 4832, 45346,                                             45346, 3.3498997688293457, 268.1837463378906
6, -39347.168619155884, 5, 157.5306585599999, 7885, 53231,                                             53231, 3.647759199142456, 292.6220703125
7, -6840.769473075867, 5, 28.792124201999968, 1396, 54627,                                             54627, 3.964597463607788, 298.0318908691406
8, -37551.699152469635, 5, 190.6410177339999, 9472, 64099,                                             64099, 4.026296615600586, 309.0116882324219
9, -4562.161516666412, 5, 25.990551852999943, 1265, 65364,                                             65364, 4.291823387145996, 318.57049560546875
10, -4958.017628073692, 5, 31.41031953899983, 1550, 66914,                                             66914, 4.270813465118408, 320.0982360839844
11, -2415.840608358383, 5, 12.746349827999893, 613, 67527,                                             67527, 3.902669906616211, 322.28070068359375
12, -8142.897945642471, 5, 56.662407165999866, 2796, 70323,                                             70323, 4.373944282531738, 323.5338134765625
13, -11637.262361645699, 5, 56.25992811099991, 2771, 73094,                                             73094, 4.410281658172607, 325.0774841308594
14, 1271.1212701797485, 1, 13.556824222999921, 644, 73738,                                             73738, 4.526258945465088, 326.5982360839844
15, -5587.2293474674225, 5, 26.78116656500015, 1287, 75025,                                             75025, 4.319058418273926, 327.4051208496094
16, -973.5980970263481, 5, 10.544115134000094, 503, 75528,                                             75528, 4.106782913208008, 328.3998107910156
17, -5486.696163058281, 5, 28.582080457000075, 1403, 76931,                                             76931, 4.516204357147217, 328.52703857421875
18, -12564.57632279396, 5, 62.88652305300002, 3067, 79998,                                             79998, 4.3437018394470215, 330.1080322265625
19, -1841.683738231659, 5, 12.545272439999962, 627, 80625,                                             80625, 4.06974458694458, 332.5555725097656
